"filename", "language", "Python", "Markdown", "CSV", "Django txt", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\details.md", "Markdown", 0, 273, 0, 0, 0, 0, 0, 6, 279
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff-details.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 6, 78
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.csv", "CSV", 0, 0, 65, 0, 0, 0, 0, 0, 65
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.txt", "Django txt", 0, 0, 0, 99, 0, 0, 0, 3, 102
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.csv", "CSV", 0, 0, 266, 0, 0, 0, 0, 0, 266
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.txt", "Django txt", 0, 0, 0, 310, 0, 0, 0, 3, 313
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\ModelUser_20220114163603.py", "Python", -59, 0, 0, 0, 0, 0, -12, -26, -97
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\ModelUser_20220114165536.py", "Python", -59, 0, 0, 0, 0, 0, -12, -26, -97
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\__init___20220113153537.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\__init___20220113154538.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\test_20220114163706.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\test_20220114164708.py", "Python", -13, 0, 0, 0, 0, 0, -12, -3, -28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Api\test_20220114165850.py", "Python", -16, 0, 0, 0, 0, 0, -12, -3, -31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220113232928.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220113233930.py", "Python", -11, 0, 0, 0, 0, 0, -13, -2, -26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220114020901.py", "Python", -12, 0, 0, 0, 0, 0, -13, -2, -27
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220114172106.py", "Python", -11, 0, 0, 0, 0, 0, -13, -2, -26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220114202508.py", "Python", -11, 0, 0, 0, 0, 0, -13, -2, -26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\Settings_20220114203530.py", "Python", -11, 0, 0, 0, 0, 0, -13, -2, -26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\__init___20220113153526.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Core\__init___20220113154528.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\EquipmentModel_20220113232151.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CoursePlanModel_20220113231944.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
