"filename", "language", "Ini", "pip requirements", "Python", "Markdown", "CSV", "Django txt", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\details.md", "Markdown", 0, 0, 0, 229, 0, 0, 0, 0, 6, 235
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\diff.txt", "Django txt", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\results.csv", "CSV", 0, 0, 0, 0, 222, 0, 0, 0, 0, 222
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\results.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-16_12-58-48\results.txt", "Django txt", 0, 0, 0, 0, 0, 260, 0, 0, 3, 263
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\details.md", "Markdown", 0, 0, 0, 273, 0, 0, 0, 0, 6, 279
