"filename", "language", "Django txt", "Markdown", "CSV", "pip requirements", "Python", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\details.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 6, 83
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff-details.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.csv", "CSV", 0, 0, 53, 0, 0, 0, 0, 0, 53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 7, 35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.txt", "Django txt", 86, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.csv", "CSV", 0, 0, 70, 0, 0, 0, 0, 0, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.txt", "Django txt", 111, 0, 0, 0, 0, 0, 0, 3, 114
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test.txt", "Django txt", 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test_pydantic_to_sqlalchemy.py", "Python", 0, 0, 0, 0, 57, 0, 1, 0, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\requirements.txt", "pip requirements", 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\Settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 6
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 0, 0, 0, 0, -99, 0, -48, -5, -152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 0, 0, 0, 0, -120, 0, -48, -6, -174
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 0, 0, 0, 0, -242, 0, -96, -12, -350
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 0, 0, 0, 0, -242, 0, -96, -12, -350
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 0, 0, 0, 0, -224, 0, -96, -13, -333
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", 0, 0, 0, 0, 3, 0, 1, 10, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValues.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Session.py", "Python", 0, 0, 0, 0, -121, 0, -48, -6, -175
"Total", "-", 243, 201, 123, 17, -1592, 1, -670, -30, -1707
