"filename", "language", "Python", "JSON", "Django txt", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\details.md", "Markdown", 0, 0, 0, 87, 0, 0, 6, 93
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff-details.md", "Markdown", 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.csv", "CSV", 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.md", "Markdown", 0, 0, 0, 24, 0, 0, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.txt", "Django txt", 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.csv", "CSV", 0, 0, 0, 0, 80, 0, 0, 80
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.md", "Markdown", 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.txt", "Django txt", 0, 0, 122, 0, 0, 0, 3, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test_pydantic_to_sqlalchemy.py", "Python", 5, 0, 0, 0, 0, -1, 0, 4
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 46, 0, 0, 0, 0, 1, 10, 57
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 35, 0, 0, 0, 0, 0, 13, 48
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 39, 0, 0, 0, 0, 1, 11, 51
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 25, 0, 0, 0, 0, 1, 9, 35
"Total", "-", 279, 1, 179, 183, 108, 2, 106, 858
