"filename", "language", "Python", "Markdown", "Django txt", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\details.md", "Markdown", 0, -273, 0, 0, 0, 0, -6, -279
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff-details.md", "Markdown", 0, -72, 0, 0, 0, 0, -6, -78
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.csv", "CSV", 0, 0, 0, 0, -65, 0, 0, -65
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.md", "Markdown", 0, -29, 0, 0, 0, 0, -7, -36
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.txt", "Django txt", 0, 0, -99, 0, 0, 0, -3, -102
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.csv", "CSV", 0, 0, 0, 0, -266, 0, 0, -266
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.json", "JSON", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.md", "Markdown", 0, -39, 0, 0, 0, 0, -7, -46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.txt", "Django txt", 0, 0, -310, 0, 0, 0, -3, -313
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\details.md", "Markdown", 0, 98, 0, 0, 0, 0, 6, 104
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\diff-details.md", "Markdown", 0, 53, 0, 0, 0, 0, 6, 59
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\diff.csv", "CSV", 0, 0, 0, 0, 46, 0, 0, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\diff.md", "Markdown", 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\diff.txt", "Django txt", 0, 0, 75, 0, 0, 0, 3, 78
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\results.csv", "CSV", 0, 0, 0, 0, 91, 0, 0, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\results.md", "Markdown", 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_17-18-34\results.txt", "Django txt", 0, 0, 134, 0, 0, 0, 3, 137
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ModelCoursePlan.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ModelCurricula.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ModelDepartment.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
