"filename", "language", "Python", "pip requirements", "Cython", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\details.md", "Markdown", 0, 0, 0, -96, 0, 0, 0, -6, -102
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff-details.md", "Markdown", 0, 0, 0, -28, 0, 0, 0, -6, -34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff.csv", "CSV", 0, 0, 0, 0, -21, 0, 0, 0, -21
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff.md", "Markdown", 0, 0, 0, -22, 0, 0, 0, -7, -29
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.csv", "CSV", 0, 0, 0, 0, -89, 0, 0, 0, -89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.json", "JSON", 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.md", "Markdown", 0, 0, 0, -38, 0, 0, 0, -7, -45
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\details.md", "Markdown", 0, 0, 0, 125, 0, 0, 0, 6, 131
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\diff-details.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 6, 88
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\diff.csv", "CSV", 0, 0, 0, 0, 75, 0, 0, 0, 75
